query	doi_or_id	year	first_author	title	journal	citation_count	abstract_snippet
calibration confidence interval growth model bacterial	10.1037/a0037721	2015	A. Feingold	Confidence interval estimation for standardized effect sizes in multilevel and latent growth modeling.	Journal of consulting and clinical psychology	117	
bootstrap calibration nonlinear regression coverage	10.1016/J.JSPI.2014.10.003	2016	Lingxue Pan	Bootstrap prediction intervals for linear, nonlinear, and nonparametric autoregressions	Journal of Statistical Planning and Inference	91	
profile likelihood growth curve identifiability	10.1101/2021.06.22.449499	2021	M. Simpson	Parameter identifiability and model selection for sigmoid population growth models	bioRxiv	73	Sigmoid growth models, such as the logistic, Gompertz and Richards’ models, are widely used to study population dynamics ranging from microscopic populations of cancer cells, to continental-scale human populations. Fundamental questions about model selection and parameter estimation are critical if 
calibration confidence interval growth model bacterial	10.1007/s10700-020-09340-x	2020	Zhe Liu	Uncertain growth model for the cumulative number of COVID-19 infections in China	Fuzzy Optimization and Decision Making	49	As a type of coronavirus, COVID-19 has quickly spread around the majority of countries worldwide, and seriously threatens human health and security. This paper aims to depict cumulative numbers of COVID-19 infections in China using the growth model chosen by cross validation. The residual plot does 
coverage probability nonlinear regression growth curve	10.1590/0001-3765201520140315	2015	F. D. de Mello	Growth curve by Gompertz nonlinear regression model in female and males in tambaqui (Colossoma macropomum).	Anais da Academia Brasileira de Ciencias	33	Was evaluated the pattern of growth among females and males of tambaqui by Gompertz nonlinear regression model. Five traits of economic importance were measured on 145 animals during the three years, totaling 981 morphometric data analyzed. Different curves were adjusted between males and females fo
profile likelihood growth curve identifiability	10.1016/j.cmpb.2017.01.005	2017	A. Pironet	Practical identifiability analysis of a minimal cardiovascular system model	Computer methods and programs in biomedicine	33	BACKGROUND AND OBJECTIVE Parameters of mathematical models of the cardiovascular system can be used to monitor cardiovascular state, such as total stressed blood volume status, vessel elastance and resistance. To do so, the model parameters have to be estimated from data collected at the patient's b
profile likelihood growth curve identifiability	10.1021/acs.est.9b02908	2019	Diyuan Wang	Dynamic Modeling of Microalgae Growth and Lipid Production under Transient Light and Nitrogen Conditions.	Environmental science & technology	31	We developed a new dynamic model to characterize how light and nitrogen regulate the cellular processes of photosynthetic microalgae leading to transient changes in the production of neutral lipids, carbohydrates, and biomass. Our model recapitulated the versatile neutral lipid synthesis pathways vi
calibration confidence interval growth model bacterial	10.3390/rs13030468	2021	Rahim Aguejdad	The Influence of the Calibration Interval on Simulating Non-Stationary Urban Growth Dynamic Using CA-Markov Model	Remote. Sens.	30	The temporal non-stationarity of land use and cover change (LUCC) processes is one of the main sources of uncertainty that may influence the calibration and the validation of spatial path-dependent LUCC models. In relation to that, this research aims to investigate the influence of the temporal non-
calibration confidence interval growth model bacterial	0fc939a11ba6c96997d45fb514d2a4a77b049da3	0	R. Watters	Error Modeling and Confidence Interval Estimation for Inductively Coupled Plasma Calibration Curves		27	
coverage probability nonlinear regression growth curve	10.1016/J.AQUACULTURE.2019.734243	2019	Aline Mayra da Silva Oliveira Zardin	Growth curves by Gompertz nonlinear regression model for male and female Nile tilapias from different genetic groups	Aquaculture	22	Abstract The aim of this study was to estimate the growth curve of Nile tilapia from different genetic groups and to examine possible differences in the growth between sexes using the Gompertz model. The Gompertz function was tested with eight different models: the first model without restriction in
calibration confidence interval growth model bacterial	10.1080/00207721.2015.1036474	2016	Chih-Chiang Fang	Effective confidence interval estimation of fault-detection process of software reliability growth models	International Journal of Systems Science	20	
calibration confidence interval growth model bacterial	10.1007/s00330-022-09138-y	2022	Linyu Wu	The long-term course of subsolid nodules and predictors of interval growth on chest CT: a systematic review and meta-analysis	European Radiology	18	Objectives To calculate the pooled incidence of interval growth after long-term follow-up and identify predictors of interval growth in subsolid nodules (SSNs) on chest CT. Methods A search of MEDLINE (PubMed), Cochrane Library, Web of Science Core Collection, and Embase was performed on November 08
bootstrap calibration nonlinear regression coverage	10.1080/10618600.2018.1537927	2019	Y. Fong	Fast Bootstrap Confidence Intervals for Continuous Threshold Linear Regression	Journal of Computational and Graphical Statistics	18	ABSTRACT Continuous threshold regression is a common type of nonlinear regression that is attractive to many practitioners for its easy interpretability. More widespread adoption of threshold regression faces two challenges: (i) the computational complexity of fitting threshold regression models and
