strain,r_wt_mean,r_wt_lo,r_wt_hi,r_tc_mean,r_tc_lo,r_tc_hi,log_ratio_mean,log_ratio_lo,log_ratio_hi,p_beneficial
C001,0.4537197448010097,0.4316898361376595,0.4738049284070562,0.490812405840513,0.4567837293905117,0.5254376189013775,0.07818779647383806,-0.010757113175092082,0.15882007378834254,0.9566666666666667
C002,0.4235098319720302,0.3887613488787914,0.4589303487896568,0.433808114619614,0.38664410452545966,0.48400714072962353,0.02315340865924444,-0.1189630483845429,0.17509429196074838,0.62
C006,0.4061758996802783,0.37502152231580255,0.43840064684233804,0.4686820926874926,0.442979962304585,0.5017870913629293,0.14332509091149226,0.04679307627539726,0.24791327396244062,0.9966666666666667
C011,0.49664329095618476,0.46439487886940073,0.530529629013616,0.48682435524257284,0.4513156352702836,0.5219359025539811,-0.01994009368155213,-0.13119479663129557,0.09061733752502951,0.3433333333333333
C012,0.4883800597230973,0.4546378800999047,0.5318372474193935,0.4606521558118766,0.4213958654044586,0.4981529431203531,-0.058583425130089434,-0.16792340466430672,0.05462384877335562,0.13666666666666666
C021,0.4250775308788059,0.40151061633335433,0.45011293619599385,0.43531225217396374,0.40696081225465663,0.46242213063590065,0.023747142110008005,-0.06595048622164963,0.11305916533213109,0.69
C022,0.3439474384194764,0.3278974336917448,0.3606175326174138,0.37909229613444195,0.362677545659407,0.3974945082224157,0.09724642066851934,0.03524091429346339,0.16243288472613776,1.0
C031,0.4261745568595702,0.406558053377166,0.44445378386871104,0.38445522849504365,0.3535653862254238,0.4148949849209478,-0.10358507677269269,-0.2023705999617554,-0.006785156316291004,0.02
C051,0.36801782799485067,0.3458216910705916,0.3918200923320541,0.44134523274300314,0.41774456890321066,0.46303150056594944,0.18181962184858716,0.09882230292984148,0.2499267366229726,1.0
C063,0.36558169217247505,0.34170364909167783,0.3899616346074849,0.4583404106445241,0.43000671265215984,0.49161602706994456,0.22609873694913518,0.1352315248894193,0.31788680745992,1.0
C094,0.4108020568467919,0.39555951130748934,0.43130485241989824,0.33221026065365866,0.31904793012088123,0.3454556524929468,-0.21229064829183172,-0.27527881239462726,-0.1621869059764591,0.0
C107,0.3493952596259774,0.32758652085486684,0.3686943023042826,0.32128149495981834,0.30023327923604365,0.3470890179353211,-0.08406155837218675,-0.17681816574426334,0.01882204691299905,0.056666666666666664
C115,0.4454512065684437,0.41152091664246593,0.4822304058899519,0.45684581144241226,0.4237695232043907,0.4876654441939753,0.025388519255366084,-0.07227645921432532,0.12858166751145023,0.6633333333333333
C131,0.5051408196386383,0.46260733349312555,0.5430379232062075,0.42211227947337465,0.3839831123135129,0.46128411607594744,-0.17990670376253837,-0.29913842000992197,-0.053540290221476015,0.0033333333333333335
C141,0.36406852451438554,0.3472246852257837,0.3801855399056819,0.46760716386777734,0.4342839265047611,0.5032188864382211,0.24970014301509205,0.16394373297431042,0.33754431749097746,1.0
C201,0.4530812450350924,0.4335306674263316,0.47138125209864706,0.4580258167084457,0.43617164858777524,0.47807454951319717,0.010834779621486941,-0.0471831904297846,0.07567759035524083,0.63
C227,0.45209659558717097,0.41466577569596674,0.49194886364258517,0.4566865090781685,0.4195611736306192,0.49507610259855755,0.010088612247843649,-0.10841772419465559,0.13557262977245615,0.5233333333333333
C232,0.48336761435746844,0.4661869157467312,0.5015038980065231,0.3411875272760375,0.3282107619946011,0.35277132088478413,-0.348349052229496,-0.396534705541984,-0.29430177954933834,0.0
C247,0.47588724243501124,0.45951306537923153,0.4951412701683202,0.42029871420777803,0.39982388257257195,0.43978689138223337,-0.12430922593258038,-0.18374115792894224,-0.06765734765936363,0.0
C261,0.43120842443668567,0.3842463637665209,0.4812988456190307,0.3845849046403289,0.3455494200063336,0.42327289731266077,-0.11420557605213173,-0.25330801226539695,0.033388638712472274,0.06666666666666667
C286,0.35019287467042615,0.33806617802411876,0.364381453975973,0.3763539384775462,0.3669311244102762,0.3859999016944613,0.07215166068572704,0.027547825709407506,0.11903506205748149,0.9966666666666667
C290,0.41100830388492776,0.37181037151864305,0.44677520881172633,0.4594689386517252,0.43499622874398,0.48659050090483535,0.1122303448772738,0.004748557566757761,0.22634444984987884,0.98
C302,0.37829307656022987,0.34915222229661447,0.40654835042105053,0.3262516054189829,0.2996573410778133,0.3504055360796824,-0.14805332316525743,-0.2727407851033298,-0.039918577619070306,0.006666666666666667
C309,0.47854597522009035,0.4696442570384416,0.4860447695636847,0.40536676823323264,0.3895647873485321,0.4188285386576157,-0.16608892056087537,-0.2103983924642859,-0.12309298599549118,0.0
C324,0.3635842288828643,0.3306924742112509,0.39297127240518004,0.38809966706392096,0.35587439855249514,0.41743019551686505,0.0651067996847981,-0.04535384270830016,0.17673464901979274,0.8333333333333334
K037,0.34614869259225506,0.32121133766926735,0.3726384075170999,0.36886252217737997,0.34348601724157046,0.39336310117510753,0.06372974147175886,-0.03799933798582743,0.17350568285299656,0.8766666666666667
K038,0.3700957834211027,0.3531573864807039,0.38399673619683244,0.4235565950949842,0.40295729736411523,0.4477271335266092,0.13480321500652995,0.06435454608323533,0.20535467545592834,1.0
K087,0.35917120796207397,0.32940144058421816,0.3953142289453029,0.4034796499002452,0.3782027554204771,0.431583445885913,0.11666516424708005,0.014524736634922535,0.2158766429775449,0.9933333333333333
K094,0.32038673558904995,0.30037507908437766,0.3384193213133171,0.33406014078886165,0.3178663889731999,0.35318513569271515,0.041909887273484395,-0.04493827332380179,0.12875406103628487,0.8166666666666667
K112,0.38678854316245875,0.361510336735068,0.4100957781791274,0.33835352166448984,0.32219405680653734,0.35792404849334114,-0.13359667920250987,-0.2198418955914395,-0.05627675269783684,0.0
K114,0.4142672726038998,0.3948359968351177,0.4373068768519892,0.3731680982847297,0.3535767464307492,0.3923275575425467,-0.10450212363849679,-0.17910171389253104,-0.03842870270578227,0.0
